id,title,content,publication_date,source_url,is_duplicate,category
22,"A 13-year-old dies after participating in a Benadryl TikTok 'challenge'","A 13-year-old in Ohio has died after "he took a bunch of Benadryl," trying a dangerous TikTok challenge that's circulating online, according to a CNN affiliate and a GoFundMe account from his family.","2024-01-29 12:42:42",https://www.cnn.com/2023/04/18/us/benadryl-tiktok-challenge-teen-death-wellness/index.html,0,Others
23,"Jeremy Renner revisits 'the amazing group of people' who helped him recover from his accident","Jeremy Renner is continuing his recovery after his devastating snowplow accident in January, and recognizing those who've helped him along the way.","2024-01-29 12:42:42",https://www.cnn.com/2023/04/16/entertainment/jeremy-renner-update/index.html,0,Others
24,"FTC chair Lina Khan warns AI could 'turbocharge' fraud and scams","Artificial intelligence tools such as ChatGPT could lead to a "turbocharging" of consumer harms including fraud and scams, and the US government has substantial authority to crack down on AI-driven consumer harms under existing law, members of the Federal Trade Commission said Tuesday.","2024-01-29 12:42:43",https://www.cnn.com/2023/04/18/tech/lina-khan-ai-warning/index.html,0,Others
25,"The 10 best Amazon deals to shop this week",,"2024-01-29 12:42:43",https://www.cnn.com/cnn-underscored/deals/best-amazon-deals-2023-04-12?iid=CNNUnderscoredHPcontainer,0,Others
26,"Millions in the US could face massive consequences unless McCarthy can navigate out of a debt trap he set for Biden","• DeSantis goes to Washington, a place he once despised, looking for support to take on Trump
• Opinion: For the GOP to win, it must ditch Trump
• Chris Christie mulling 2024 White House bid
• Analysis: The fire next time has begun burning in Tennessee","2024-01-29 12:42:43",https://www.cnn.com/2023/04/18/politics/mccarthy-biden-debt-ceiling/index.html,0,Others
27,"Michelle Yeoh set to return in new 'Star Trek' movie","Live long and prosper, Michelle Yeoh.","2024-01-29 12:42:43",https://www.cnn.com/2023/04/18/entertainment/michelle-yeoh-star-trek-section-31/index.html,0,Others
28,"Apple CEO was presented with an original Macintosh. See his reaction","CEO Tim Cook personally welcomed customers to the new Apple store in Mumbai as the tech company opens its first retail stores in India. CNN's Vedika Sud reports.","2024-01-29 12:42:43",https://www.cnn.com/videos/tech/2023/04/18/apple-store-mumbai-india-ceo-tim-cook-vedika-sud-ovn-biz-ldn-vpx.cnn,0,Others
29,"Weekend Money Markets Roundup January 27, 2024","<img class="type:primaryImage" src="https://i.kinja-img.com/image/upload/c_fit,q_80,w_636/e092f8d68ef4c43063c0cdff9362524b.jpg" /><p>There was a whole lot of excitement around the prospect of exchange-traded bitcoin funds a couple weeks ago, when the US Securities and Exchange Commission announced that it had <a class="sc-1out364-0 dPMosf sc-145m8ut-0 lcFFec js_link" href="https://qz.com/first-bitcoin-exchange-traded-funds-are-cleared-by-us-r-1851157071" rel="noopener noreferrer" target="_blank">approved use of the investing tool</a>. Someone even <a class="sc-1out364-0 dPMosf sc-145m8ut-0 lcFFec js_link" href="https://www.reuters.com/technology/sec-account-hack-renews-spotlight-xs-security-concerns-2024-01-10/" rel="noopener noreferrer" target="_blank">hacked the SEC’s account on the X social media platform</a> to break the news early! But that…</p><p><a href="https://qz.com/weekend-money-markets-roundup-january-27-2024-1851201022">Read more...</a></p>","2024-01-29 12:42:43",https://qz.com/weekend-money-markets-roundup-january-27-2024-1851201022,0,Others
30,"Jake Gyllenhaal and Jamie Lee Curtis spent the Covid-19 lockdown together","It's sourdough bread and handstands for Jake Gyllenhaal and Jamie Lee Curtis.","2024-01-29 12:42:43",https://www.cnn.com/2023/04/18/entertainment/jake-gyllenhaal-jamie-lee-curtis-pandemic-living/index.html,0,Others
31,"New York is lapping San Francisco in the return-to-office race","<img class="type:primaryImage" src="https://i.kinja-img.com/image/upload/c_fit,q_80,w_636/2d05801dfd6406f66ba077ca660056d6.jpg" /><p>The Big Apple has more successfully brought its workers back to the office than other major US cities—especially San Francisco.<br /></p><p><a href="https://qz.com/new-york-san-francisco-return-to-office-1851201948">Read more...</a></p>","2024-01-29 12:42:44",https://qz.com/new-york-san-francisco-return-to-office-1851201948,0,Others
